time	timepoint	ID	Study	Sample_ID
SAMPLE-1	1	1	1	BS	SAMPLE-1
SAMPLE-2	0	0	1	BS	SAMPLE-2
SAMPLE-3	1	6	1	BS	SAMPLE-3
SAMPLE-4	1	6	2	BS	SAMPLE-4
SAMPLE-5	0	0	2	BS	SAMPLE-5
SAMPLE-6	1	1	2	BS	SAMPLE-6
SAMPLE-7	1	1	3	BS	SAMPLE-7
SAMPLE-8	0	0	3	BS	SAMPLE-8
SAMPLE-9	1	6	3	BS	SAMPLE-9
SAMPLE-10	1	6	4	BS	SAMPLE-10
SAMPLE-11	1	1	4	BS	SAMPLE-11
SAMPLE-12	0	0	4	BS	SAMPLE-12
SAMPLE-13	1	1	5	BS	SAMPLE-13
SAMPLE-14	0	0	5	BS	SAMPLE-14
SAMPLE-15	0	0	6	BS	SAMPLE-15
SAMPLE-16	1	6	6	BS	SAMPLE-16
SAMPLE-17	1	1	6	BS	SAMPLE-17
SAMPLE-18	0	0	7	BS	SAMPLE-18
SAMPLE-19	1	1	7	BS	SAMPLE-19
SAMPLE-20	1	6	7	BS	SAMPLE-20
SAMPLE-21	0	0	8	BS	SAMPLE-21
SAMPLE-22	1	1	8	BS	SAMPLE-22
SAMPLE-23	1	1	9	BS	SAMPLE-23
SAMPLE-24	0	0	9	BS	SAMPLE-24
SAMPLE-25	0	0	10	BS	SAMPLE-25
SAMPLE-26	1	6	10	BS	SAMPLE-26
SAMPLE-27	1	1	10	BS	SAMPLE-27
SAMPLE-28	1	6	11	BS	SAMPLE-28
SAMPLE-29	1	1	11	BS	SAMPLE-29
SAMPLE-30	0	0	11	BS	SAMPLE-30
SAMPLE-31	0	0	12	BS	SAMPLE-31
SAMPLE-32	1	1	12	BS	SAMPLE-32
SAMPLE-33	0	0	13	BS	SAMPLE-33
SAMPLE-34	0	0	14	BS	SAMPLE-34
SAMPLE-35	1	1	15	BS	SAMPLE-35
SAMPLE-36	0	0	15	BS	SAMPLE-36
SAMPLE-37	0	0	16	BS	SAMPLE-37
SAMPLE-38	1	1	16	BS	SAMPLE-38
SAMPLE-39	1	1	17	BS	SAMPLE-39
SAMPLE-40	0	0	17	BS	SAMPLE-40
SAMPLE-41	0	0	18	BS	SAMPLE-41
SAMPLE-42	0	0	19	BS	SAMPLE-42
SAMPLE-43	0	0	21	BS	SAMPLE-43
SAMPLE-44	1	1	34	BS	SAMPLE-44
SAMPLE-45	1	6	34	BS	SAMPLE-45
SAMPLE-46	0	0	34	BS	SAMPLE-46
SAMPLE-47	0	0	36	BS	SAMPLE-47
SAMPLE-48	1	1	36	BS	SAMPLE-48
SAMPLE-49	0	0	37	BS	SAMPLE-49
SAMPLE-50	1	6	38	BS	SAMPLE-50
SAMPLE-51	1	1	38	BS	SAMPLE-51
SAMPLE-52	0	0	38	BS	SAMPLE-52
SAMPLE-53	1	1	39	BS	SAMPLE-53
SAMPLE-54	0	0	39	BS	SAMPLE-54
SAMPLE-55	0	0	40	BS	SAMPLE-55
SAMPLE-56	1	1	40	BS	SAMPLE-56
SAMPLE-57	0	0	42	BS	SAMPLE-57
SAMPLE-58	1	1	42	BS	SAMPLE-58
SAMPLE-59	0	0	44	BS	SAMPLE-59
SAMPLE-60	0	0	45	BS	SAMPLE-60
SAMPLE-61	0	0	46	BS	SAMPLE-61
SRR5865065	1	2Y	5	Assal	SRR5865065
SRR5865066	1	1Y	10	Assal	SRR5865066
SRR5865067	0	Pre	9	Assal	SRR5865067
SRR5865068	1	2Y	6	Assal	SRR5865068
SRR5865069	0	Pre	8	Assal	SRR5865069
SRR5865070	0	Pre	17	Assal	SRR5865070
SRR5865071	1	3M	1	Assal	SRR5865071
SRR5865072	0	Pre	12	Assal	SRR5865072
SRR5865073	1	2Y	1	Assal	SRR5865073
SRR5865074	1	3M	6	Assal	SRR5865074
SRR5865075	1	1Y	13	Assal	SRR5865075
SRR5865077	0	Pre	21	Assal	SRR5865077
SRR5865085	0	Pre	11	Assal	SRR5865085
SRR5865086	1	3M	12	Assal	SRR5865086
SRR5865087	1	1Y	12	Assal	SRR5865087
SRR5865096	1	3M	4	Assal	SRR5865096
SRR5865097	1	2Y	4	Assal	SRR5865097
SRR5865098	1	1Y	5	Assal	SRR5865098
SRR5865110	0	Pre	23	Assal	SRR5865110
SRR5865111	0	Pre	3	Assal	SRR5865111
SRR5865112	1	3M	7	Assal	SRR5865112
SRR5865114	0	Pre	5	Assal	SRR5865114
SRR5865115	1	1Y	3	Assal	SRR5865115
SRR5865116	1	3M	2	Assal	SRR5865116
SRR5865120	0	Pre	14	Assal	SRR5865120
SRR5865121	0	Pre	15	Assal	SRR5865121
SRR5865122	1	1Y	2	Assal	SRR5865122
SRR5865123	1	3M	10	Assal	SRR5865123
SRR5865124	1	1Y	1	Assal	SRR5865124
SRR5865125	1	1Y	14	Assal	SRR5865125
SRR5865126	1	3M	14	Assal	SRR5865126
SRR5865127	0	Pre	25	Assal	SRR5865127
SRR5865128	0	Pre	2	Assal	SRR5865128
SRR5865129	0	Pre	24	Assal	SRR5865129
SRR5865130	0	Pre	22	Assal	SRR5865130
SRR5865078	1	3M	18	Assal	SRR5865078
SRR5865079	1	1Y	9	Assal	SRR5865079
SRR5865080	1	3M	19	Assal	SRR5865080
SRR5865081	0	Pre	6	Assal	SRR5865081
SRR5865082	1	3M	16	Assal	SRR5865082
SRR5865083	1	3M	20	Assal	SRR5865083
SRR5865084	0	Pre	1	Assal	SRR5865084
SRR5865088	0	Pre	16	Assal	SRR5865088
SRR5865090	1	1Y	4	Assal	SRR5865090
SRR5865091	1	3M	8	Assal	SRR5865091
SRR5865092	1	3M	9	Assal	SRR5865092
SRR5865093	1	2Y	7	Assal	SRR5865093
SRR5865094	1	1Y	7	Assal	SRR5865094
SRR5865095	1	3M	5	Assal	SRR5865095
SRR5865099	1	1Y	11	Assal	SRR5865099
SRR5865100	0	Pre	4	Assal	SRR5865100
